Date,Income/Expenses,Category,Memo,Amount
2020-01-02,Expenses,Food,Oreo,-50
2020-01-02,Expenses,Food,午餐,-80
2020-01-01,Expenses,Food,阿舍乾麵,-137
2020-01-01,Expenses,Board game,桌遊,-114
2019-12-31,Expenses,Drinks,拿鐵,-45
2019-12-31,Expenses,Food,午餐,-120
2019-12-30,Expenses,Drinks,冬瓜牛奶,-40
2019-12-30,Expenses,Food,午餐,-60
2019-12-29,Expenses,Food,桂桃嬤,-135
2019-12-28,Expenses,Food,午餐,-80
2019-12-27,Expenses,Drinks,拿鐵,-65
2019-12-27,Expenses,Social,卡-line貼圖,-74
2019-12-27,Expenses,Food,午餐,-70
2019-12-26,Expenses,Health,牙醫,-150
2019-12-26,Expenses,Gas,機車95,-110
2019-12-26,Expenses,Food,晚餐,-75
2019-12-26,Expenses,Food,午餐,-130
2019-12-25,Expenses,Drinks,比菲多,-48
2019-12-24,Expenses,Food,晚餐,-120
2019-12-24,Expenses,Food,午餐,-55
2019-12-23,Expenses,Food,午餐,-80
2019-12-22,Expenses,Daily commodies,卡-襪子,-125
2019-12-22,Expenses,Food,麵包,-105
2019-12-22,Expenses,Food,樂擰漢堡,-185
2019-12-22,Expenses,Drinks,im coffee,-190
2019-12-22,Expenses,Drinks,杏仁茶,-45
2019-12-22,Expenses,Food,早餐,-65
2019-12-21,Expenses,Food,午餐,-89
2019-12-19,Expenses,Hair,剪髮,-100
2019-12-19,Expenses,Drinks,拿鐵,-45
2019-12-19,Expenses,Food,午餐,-75
2019-12-18,Expenses,Drinks,波霸奶茶,-45
2019-12-18,Expenses,Food,午餐,-60
2019-12-17,Expenses,Drinks,比菲多,-30
2019-12-17,Expenses,Food,午餐,-70
2019-12-16,Expenses,Food,午餐,-125
2019-12-15,Expenses,Food,晚餐,-105
2019-12-15,Expenses,Food,早餐,-56
2019-12-15,Expenses,Food,山花,-350
2019-12-14,Expenses,Drinks,星巴克,-75
2019-12-13,Expenses,Drinks,綠豆湯,-35
2019-12-13,Expenses,Food,午餐,-95
2019-12-11,Expenses,Food,午餐,-100
2019-12-10,Expenses,Food,午餐,-95
2019-12-09,Expenses,Drinks,星巴克,-75
2019-12-09,Expenses,Food,午餐,-55
2019-12-08,Expenses,Food,晚餐,-172
2019-12-08,Expenses,Drinks,星巴克,-80
2019-12-08,Expenses,Food,早餐,-190
2019-12-07,Expenses,Food,午餐,-59
2019-12-07,Expenses,Tax,電話費,-998
2019-12-06,Expenses,Food,晚餐,-83
2019-12-06,Expenses,Food,午餐,-80
2019-12-05,Expenses,Food,午餐,-70
2019-12-04,Expenses,Others,護照,-1300
2019-12-04,Expenses,Food,午餐,-160
2019-12-04,Expenses,Food,早餐,-60
2019-12-03,Expenses,Food,卡-鄧師父,-235
2019-12-03,Expenses,Food,早餐,-40
2019-12-02,Expenses,Daily commodies,卡-鼻罩,-246
2019-12-02,Expenses,Food,晚餐,-140
2019-12-02,Expenses,Others,洗相片,-150
2019-12-02,Expenses,Food,午餐,-80
2019-12-01,Expenses,Food,桂桃嬤,-130
2019-12-01,Expenses,Food,一點點輕食,-265
2019-11-30,Expenses,Drinks,水,-28
2019-11-30,Expenses,Gas,卡-機車95,-150
2019-11-30,Expenses,Food,卡-爭鮮,-240
2019-11-30,Expenses,Food,卡-午餐,-84
2019-11-29,Expenses,Food,晚餐,-190
2019-11-29,Expenses,Drinks,楊桃湯,-30
2019-11-29,Expenses,Food,午餐,-50
2019-11-28,Expenses,Food,晚餐,-210
2019-11-28,Expenses,Food,卡-午餐,-114
2019-11-27,Expenses,Food,午餐,-90
2019-11-26,Expenses,Drinks,美祿,-70
2019-11-26,Expenses,Food,午餐,-50
2019-11-25,Expenses,Food,芋頭牛奶冰,-30
2019-11-25,Expenses,Food,晚餐,-75
2019-11-25,Expenses,Food,午餐,-75
2019-11-24,Expenses,Food,麥當勞,-127
2019-11-24,Expenses,Food,早餐,-58
